rank,team,country,level,elo,to
19.0,Tottenham,ENG,1,1800.83117676,2014-08-16
18.0,Tottenham,ENG,1,1806.61010742,2014-08-19
18.0,Tottenham,ENG,1,1805.96081543,2014-08-21
19.0,Tottenham,ENG,1,1804.05664062,2014-08-24
17.0,Tottenham,ENG,1,1808.56115723,2014-08-27
18.0,Tottenham,ENG,1,1810.11816406,2014-08-28
17.0,Tottenham,ENG,1,1809.38024902,2014-08-29
18.0,Tottenham,ENG,1,1809.38024902,2014-08-31
19.0,Tottenham,ENG,1,1797.59924316,2014-09-13
19.0,Tottenham,ENG,1,1794.58520508,2014-09-16
19.0,Tottenham,ENG,1,1792.37023926,2014-09-17
20.0,Tottenham,ENG,1,1789.18127441,2014-09-18
23.0,Tottenham,ENG,1,1783.64477539,2014-09-20
22.0,Tottenham,ENG,1,1783.64477539,2014-09-21
25.0,Tottenham,ENG,1,1770.42321777,2014-09-24
24.0,Tottenham,ENG,1,1770.42321777,2014-09-27
23.0,Tottenham,ENG,1,1774.12341309,2014-09-30
23.0,Tottenham,ENG,1,1773.60095215,2014-10-01
23.0,Tottenham,ENG,1,1771.74951172,2014-10-02
25.0,Tottenham,ENG,1,1763.91479492,2014-10-05
25.0,Tottenham,ENG,1,1769.91101074,2014-10-18
25.0,Tottenham,ENG,1,1764.33496094,2014-10-21
28.0,Tottenham,ENG,1,1763.53259277,2014-10-22
28.0,Tottenham,ENG,1,1762.37023926,2014-10-23
26.0,Tottenham,ENG,1,1766.34191895,2014-10-26
29.0,Tottenham,ENG,1,1753.54870605,2014-10-29
28.0,Tottenham,ENG,1,1753.54870605,2014-11-01
29.0,Tottenham,ENG,1,1753.54870605,2014-11-02
29.0,Tottenham,ENG,1,1759.14013672,2014-11-04
29.0,Tottenham,ENG,1,1756.24438477,2014-11-05
29.0,Tottenham,ENG,1,1749.14868164,2014-11-06
29.0,Tottenham,ENG,1,1756.21203613,2014-11-09
30.0,Tottenham,ENG,1,1744.29125977,2014-11-21
31.0,Tottenham,ENG,1,1744.29125977,2014-11-23
29.0,Tottenham,ENG,1,1749.41088867,2014-11-25
29.0,Tottenham,ENG,1,1756.99584961,2014-11-26
29.0,Tottenham,ENG,1,1758.44677734,2014-11-27
25.0,Tottenham,ENG,1,1764.15771484,2014-11-30
23.0,Tottenham,ENG,1,1772.20117188,2014-12-03
23.0,Tottenham,ENG,1,1767.23352051,2014-12-06
27.0,Tottenham,ENG,1,1761.87084961,2014-12-07
26.0,Tottenham,ENG,1,1761.87084961,2014-12-09
25.0,Tottenham,ENG,1,1763.0802002,2014-12-10
25.0,Tottenham,ENG,1,1766.31799316,2014-12-11
28.0,Tottenham,ENG,1,1750.5267334,2014-12-14
27.0,Tottenham,ENG,1,1758.35595703,2014-12-20
27.0,Tottenham,ENG,1,1761.45214844,2014-12-26
26.0,Tottenham,ENG,1,1766.68395996,2014-12-28
25.0,Tottenham,ENG,1,1767.53735352,2015-01-01
20.0,Tottenham,ENG,1,1783.55554199,2015-01-10
21.0,Tottenham,ENG,1,1772.43017578,2015-01-11
22.0,Tottenham,ENG,1,1772.43017578,2015-01-17
21.0,Tottenham,ENG,1,1776.1262207,2015-01-31
20.0,Tottenham,ENG,1,1785.70141602,2015-02-06
21.0,Tottenham,ENG,1,1785.70141602,2015-02-07
20.0,Tottenham,ENG,1,1794.54870605,2015-02-08
19.0,Tottenham,ENG,1,1794.54870605,2015-02-10
21.0,Tottenham,ENG,1,1788.36706543,2015-02-14
19.0,Tottenham,ENG,1,1788.36706543,2015-02-17
19.0,Tottenham,ENG,1,1788.75061035,2015-02-19
19.0,Tottenham,ENG,1,1788.06225586,2015-02-22
20.0,Tottenham,ENG,1,1784.60705566,2015-02-24
20.0,Tottenham,ENG,1,1782.5859375,2015-02-25
20.0,Tottenham,ENG,1,1776.35949707,2015-02-26
29.0,Tottenham,ENG,1,1754.45422363,2015-02-28
28.0,Tottenham,ENG,1,1754.45422363,2015-03-01
29.0,Tottenham,ENG,1,1754.45422363,2015-03-04
28.0,Tottenham,ENG,1,1759.19665527,2015-03-07
25.0,Tottenham,ENG,1,1763.59570312,2015-03-11
28.0,Tottenham,ENG,1,1759.78479004,2015-03-12
28.0,Tottenham,ENG,1,1760.92993164,2015-03-15
29.0,Tottenham,ENG,1,1752.26049805,2015-03-16
30.0,Tottenham,ENG,1,1752.26049805,2015-03-17
28.0,Tottenham,ENG,1,1755.07275391,2015-03-18
29.0,Tottenham,ENG,1,1754.49682617,2015-03-19
31.0,Tottenham,ENG,1,1748.19775391,2015-03-21
29.0,Tottenham,ENG,1,1751.18041992,2015-04-04
31.0,Tottenham,ENG,1,1751.18041992,2015-04-05
31.0,Tottenham,ENG,1,1747.60827637,2015-04-11
36.0,Tottenham,ENG,1,1734.10546875,2015-04-12
37.0,Tottenham,ENG,1,1734.10546875,2015-04-19
33.0,Tottenham,ENG,1,1743.02709961,2015-04-24
32.0,Tottenham,ENG,1,1743.02709961,2015-04-25
32.0,Tottenham,ENG,1,1744.23303223,2015-05-02
33.0,Tottenham,ENG,1,1744.23303223,2015-05-03
34.0,Tottenham,ENG,1,1738.31433105,2015-05-05
33.0,Tottenham,ENG,1,1738.31433105,2015-05-06
34.0,Tottenham,ENG,1,1738.31433105,2015-05-09
36.0,Tottenham,ENG,1,1723.44274902,2015-05-10
37.0,Tottenham,ENG,1,1723.44274902,2015-05-16
37.0,Tottenham,ENG,1,1728.48413086,2015-05-17
36.0,Tottenham,ENG,1,1728.48413086,2015-05-23
35.0,Tottenham,ENG,1,1728.48413086,2015-05-24
35.0,Tottenham,ENG,1,1737.52062988,2015-07-02
35.0,Tottenham,ENG,1,1737.52502441,2015-07-09
35.0,Tottenham,ENG,1,1737.52514648,2015-07-16
35.0,Tottenham,ENG,1,1737.52526855,2015-07-23
35.0,Tottenham,ENG,1,1732.93151855,2015-07-30
35.0,Tottenham,ENG,1,1733.15515137,2015-08-06
35.0,Tottenham,ENG,1,1730.68017578,2015-08-08
35.0,Tottenham,ENG,1,1725.90551758,2015-08-15
36.0,Tottenham,ENG,1,1723.48876953,2015-08-18
36.0,Tottenham,ENG,1,1724.88464355,2015-08-20
36.0,Tottenham,ENG,1,1723.45666504,2015-08-21
37.0,Tottenham,ENG,1,1723.45666504,2015-08-22
37.0,Tottenham,ENG,1,1722.71777344,2015-08-26
37.0,Tottenham,ENG,1,1724.46838379,2015-08-27
37.0,Tottenham,ENG,1,1719.55212402,2015-08-29
37.0,Tottenham,ENG,1,1717.92028809,2015-08-30
36.0,Tottenham,ENG,1,1717.92028809,2015-09-12
38.0,Tottenham,ENG,1,1717.92028809,2015-09-13
36.0,Tottenham,ENG,1,1723.60925293,2015-09-15
39.0,Tottenham,ENG,1,1716.8404541,2015-09-16
39.0,Tottenham,ENG,1,1713.76782227,2015-09-17
37.0,Tottenham,ENG,1,1717.36218262,2015-09-18
36.0,Tottenham,ENG,1,1717.36218262,2015-09-20
34.0,Tottenham,ENG,1,1722.89428711,2015-09-23
35.0,Tottenham,ENG,1,1722.89428711,2015-09-26
32.0,Tottenham,ENG,1,1741.53442383,2015-09-27
31.0,Tottenham,ENG,1,1741.53442383,2015-09-29
33.0,Tottenham,ENG,1,1735.03686523,2015-09-30
31.0,Tottenham,ENG,1,1739.71484375,2015-10-01
30.0,Tottenham,ENG,1,1740.60351562,2015-10-04
29.0,Tottenham,ENG,1,1739.40917969,2015-10-17
29.0,Tottenham,ENG,1,1737.4942627,2015-10-20
29.0,Tottenham,ENG,1,1742.78076172,2015-10-21
29.0,Tottenham,ENG,1,1745.31213379,2015-10-22
31.0,Tottenham,ENG,1,1729.92028809,2015-10-23
30.0,Tottenham,ENG,1,1729.92028809,2015-10-25
29.0,Tottenham,ENG,1,1739.92297363,2015-11-02
29.0,Tottenham,ENG,1,1743.83764648,2015-11-03
29.0,Tottenham,ENG,1,1749.90405273,2015-11-04
28.0,Tottenham,ENG,1,1749.4387207,2015-11-05
28.0,Tottenham,ENG,1,1755.76635742,2015-11-08
28.0,Tottenham,ENG,1,1759.58557129,2015-11-22
28.0,Tottenham,ENG,1,1767.3729248,2015-11-24
29.0,Tottenham,ENG,1,1770.33349609,2015-11-25
28.0,Tottenham,ENG,1,1766.640625,2015-11-26
26.0,Tottenham,ENG,1,1772.18603516,2015-11-29
25.0,Tottenham,ENG,1,1771.85913086,2015-12-03
24.0,Tottenham,ENG,1,1771.85913086,2015-12-04
25.0,Tottenham,ENG,1,1771.85913086,2015-12-05
26.0,Tottenham,ENG,1,1769.40100098,2015-12-08
25.0,Tottenham,ENG,1,1769.56286621,2015-12-09
21.0,Tottenham,ENG,1,1776.36608887,2015-12-10
19.0,Tottenham,ENG,1,1784.75610352,2015-12-12
20.0,Tottenham,ENG,1,1784.75610352,2015-12-13
26.0,Tottenham,ENG,1,1771.05444336,2015-12-19
20.0,Tottenham,ENG,1,1781.3536377,2015-12-20
23.0,Tottenham,ENG,1,1781.3536377,2015-12-26
18.0,Tottenham,ENG,1,1787.00671387,2015-12-28
17.0,Tottenham,ENG,1,1793.01416016,2015-12-30
18.0,Tottenham,ENG,1,1793.01416016,2015-12-31
19.0,Tottenham,ENG,1,1793.01416016,2016-01-02
18.0,Tottenham,ENG,1,1793.01416016,2016-01-03
17.0,Tottenham,ENG,1,1792.42297363,2016-01-10
16.0,Tottenham,ENG,1,1792.42297363,2016-01-11
17.0,Tottenham,ENG,1,1792.42297363,2016-01-13
19.0,Tottenham,ENG,1,1781.11193848,2016-01-16
18.0,Tottenham,ENG,1,1786.04040527,2016-01-23
16.0,Tottenham,ENG,1,1795.22229004,2016-02-02
14.0,Tottenham,ENG,1,1802.95166016,2016-02-05
15.0,Tottenham,ENG,1,1802.95166016,2016-02-06
15.0,Tottenham,ENG,1,1806.18798828,2016-02-07
14.0,Tottenham,ENG,1,1806.18798828,2016-02-12
13.0,Tottenham,ENG,1,1806.18798828,2016-02-13
15.0,Tottenham,ENG,1,1806.18798828,2016-02-14
12.0,Tottenham,ENG,1,1816.58679199,2016-02-16
12.0,Tottenham,ENG,1,1815.98730469,2016-02-18
14.0,Tottenham,ENG,1,1817.20202637,2016-02-21
13.0,Tottenham,ENG,1,1817.20202637,2016-02-23
13.0,Tottenham,ENG,1,1816.07507324,2016-02-24
13.0,Tottenham,ENG,1,1819.65246582,2016-02-25
11.0,Tottenham,ENG,1,1841.12353516,2016-02-28
11.0,Tottenham,ENG,1,1843.9362793,2016-03-02
11.0,Tottenham,ENG,1,1833.48449707,2016-03-05
10.0,Tottenham,ENG,1,1831.66003418,2016-03-09
12.0,Tottenham,ENG,1,1829.10339355,2016-03-10
15.0,Tottenham,ENG,1,1811.5333252,2016-03-13
15.0,Tottenham,ENG,1,1815.82922363,2016-03-15
15.0,Tottenham,ENG,1,1815.9107666,2016-03-16
15.0,Tottenham,ENG,1,1815.77001953,2016-03-17
15.0,Tottenham,ENG,1,1810.09375,2016-03-20
15.0,Tottenham,ENG,1,1815.62658691,2016-04-02
15.0,Tottenham,ENG,1,1815.74523926,2016-04-03
14.0,Tottenham,ENG,1,1815.74523926,2016-04-06
14.0,Tottenham,ENG,1,1817.36071777,2016-04-07
13.0,Tottenham,ENG,1,1818.70007324,2016-04-10
13.0,Tottenham,ENG,1,1829.08996582,2016-04-12
12.0,Tottenham,ENG,1,1831.66772461,2016-04-14
12.0,Tottenham,ENG,1,1835.2989502,2016-04-18
10.0,Tottenham,ENG,1,1847.09448242,2016-04-25
10.0,Tottenham,ENG,1,1841.0435791,2016-04-26
10.0,Tottenham,ENG,1,1841.37719727,2016-04-28
11.0,Tottenham,ENG,1,1839.99414062,2016-05-01
10.0,Tottenham,ENG,1,1839.99414062,2016-05-02
10.0,Tottenham,ENG,1,1840.38745117,2016-05-04
11.0,Tottenham,ENG,1,1839.08569336,2016-05-05
9.0,Tottenham,ENG,1,1846.47900391,2016-05-08
11.0,Tottenham,ENG,1,1835.07836914,2016-05-15
14.0,Tottenham,ENG,1,1810.39453125,2016-05-18
16.0,Tottenham,ENG,1,1806.72412109,2016-07-28
17.0,Tottenham,ENG,1,1805.58154297,2016-08-04
17.0,Tottenham,ENG,1,1807.02319336,2016-08-13
16.0,Tottenham,ENG,1,1805.57507324,2016-08-14
17.0,Tottenham,ENG,1,1805.57507324,2016-08-16
17.0,Tottenham,ENG,1,1806.86157227,2016-08-17
16.0,Tottenham,ENG,1,1806.86157227,2016-08-18
16.0,Tottenham,ENG,1,1806.85778809,2016-08-19
17.0,Tottenham,ENG,1,1806.85778809,2016-08-20
15.0,Tottenham,ENG,1,1809.74487305,2016-08-21
14.0,Tottenham,ENG,1,1809.74487305,2016-08-23
13.0,Tottenham,ENG,1,1809.74487305,2016-08-24
13.0,Tottenham,ENG,1,1809.76062012,2016-08-25
13.0,Tottenham,ENG,1,1802.67358398,2016-08-27
16.0,Tottenham,ENG,1,1800.76196289,2016-09-10
13.0,Tottenham,ENG,1,1812.81860352,2016-09-13
14.0,Tottenham,ENG,1,1813.97460938,2016-09-14
16.0,Tottenham,ENG,1,1804.28930664,2016-09-15
16.0,Tottenham,ENG,1,1802.62145996,2016-09-16
15.0,Tottenham,ENG,1,1802.62145996,2016-09-17
16.0,Tottenham,ENG,1,1802.62145996,2016-09-18
16.0,Tottenham,ENG,1,1805.73156738,2016-09-24
15.0,Tottenham,ENG,1,1810.03674316,2016-09-27
15.0,Tottenham,ENG,1,1823.42163086,2016-09-28
14.0,Tottenham,ENG,1,1822.64294434,2016-09-29
14.0,Tottenham,ENG,1,1822.07043457,2016-10-02
10.0,Tottenham,ENG,1,1833.70336914,2016-10-15
11.0,Tottenham,ENG,1,1830.23144531,2016-10-16
12.0,Tottenham,ENG,1,1830.23144531,2016-10-18
12.0,Tottenham,ENG,1,1833.15112305,2016-10-19
13.0,Tottenham,ENG,1,1832.26989746,2016-10-20
12.0,Tottenham,ENG,1,1830.96728516,2016-10-22
13.0,Tottenham,ENG,1,1827.34191895,2016-10-29
13.0,Tottenham,ENG,1,1824.8013916,2016-10-30
14.0,Tottenham,ENG,1,1824.8013916,2016-11-01
14.0,Tottenham,ENG,1,1830.16052246,2016-11-02
14.0,Tottenham,ENG,1,1814.38928223,2016-11-03
14.0,Tottenham,ENG,1,1812.56774902,2016-11-06
14.0,Tottenham,ENG,1,1815.75756836,2016-11-19
14.0,Tottenham,ENG,1,1819.15087891,2016-11-22
14.0,Tottenham,ENG,1,1811.19165039,2016-11-23
14.0,Tottenham,ENG,1,1810.09680176,2016-11-24
14.0,Tottenham,ENG,1,1808.88781738,2016-11-26
14.0,Tottenham,ENG,1,1803.0300293,2016-12-03
14.0,Tottenham,ENG,1,1810.50366211,2016-12-06
14.0,Tottenham,ENG,1,1810.96252441,2016-12-07
12.0,Tottenham,ENG,1,1813.65515137,2016-12-08
12.0,Tottenham,ENG,1,1813.92724609,2016-12-11
15.0,Tottenham,ENG,1,1806.6907959,2016-12-14
15.0,Tottenham,ENG,1,1809.99890137,2016-12-18
15.0,Tottenham,ENG,1,1812.70751953,2016-12-28
13.0,Tottenham,ENG,1,1826.25891113,2017-01-01
12.0,Tottenham,ENG,1,1834.33251953,2017-01-04
11.0,Tottenham,ENG,1,1844.88208008,2017-01-07
12.0,Tottenham,ENG,1,1844.88208008,2017-01-14
11.0,Tottenham,ENG,1,1851.0546875,2017-01-21
11.0,Tottenham,ENG,1,1852.40368652,2017-01-29
10.0,Tottenham,ENG,1,1852.40368652,2017-01-31
11.0,Tottenham,ENG,1,1847.30273438,2017-02-04
11.0,Tottenham,ENG,1,1849.27038574,2017-02-05
10.0,Tottenham,ENG,1,1849.27038574,2017-02-11
12.0,Tottenham,ENG,1,1839.23547363,2017-02-15
12.0,Tottenham,ENG,1,1836.39819336,2017-02-16
12.0,Tottenham,ENG,1,1831.27954102,2017-02-21
12.0,Tottenham,ENG,1,1833.60180664,2017-02-22
13.0,Tottenham,ENG,1,1834.33508301,2017-02-23
16.0,Tottenham,ENG,1,1813.44238281,2017-02-24
17.0,Tottenham,ENG,1,1813.44238281,2017-02-25
16.0,Tottenham,ENG,1,1813.44238281,2017-02-26
14.0,Tottenham,ENG,1,1820.43713379,2017-03-05
12.0,Tottenham,ENG,1,1825.07580566,2017-03-07
12.0,Tottenham,ENG,1,1824.0838623,2017-03-09
12.0,Tottenham,ENG,1,1824.59448242,2017-03-14
11.0,Tottenham,ENG,1,1830.74987793,2017-03-15
13.0,Tottenham,ENG,1,1825.66320801,2017-03-16
14.0,Tottenham,ENG,1,1827.1550293,2017-03-18
13.0,Tottenham,ENG,1,1827.1550293,2017-03-19
12.0,Tottenham,ENG,1,1830.85766602,2017-04-01
10.0,Tottenham,ENG,1,1837.9083252,2017-04-05
9.0,Tottenham,ENG,1,1844.08886719,2017-04-08
9.0,Tottenham,ENG,1,1848.44152832,2017-04-12
10.0,Tottenham,ENG,1,1848.0255127,2017-04-13
10.0,Tottenham,ENG,1,1848.48828125,2017-04-15
10.0,Tottenham,ENG,1,1852.39782715,2017-04-18
10.0,Tottenham,ENG,1,1851.86303711,2017-04-20
10.0,Tottenham,ENG,1,1853.33178711,2017-04-23
11.0,Tottenham,ENG,1,1853.33178711,2017-04-26
11.0,Tottenham,ENG,1,1858.53088379,2017-04-30
9.0,Tottenham,ENG,1,1865.50634766,2017-05-03
8.0,Tottenham,ENG,1,1865.50634766,2017-05-04
8.0,Tottenham,ENG,1,1867.26184082,2017-05-05
11.0,Tottenham,ENG,1,1856.04321289,2017-05-07
10.0,Tottenham,ENG,1,1856.04321289,2017-05-11
10.0,Tottenham,ENG,1,1856.14367676,2017-05-14
10.0,Tottenham,ENG,1,1862.22631836,2017-05-18
8.0,Tottenham,ENG,1,1877.10009766,2017-05-20
7.0,Tottenham,ENG,1,1877.10009766,2017-05-21
7.0,Tottenham,ENG,1,1884.43127441,2017-05-24
7.0,Tottenham,ENG,1,1887.17651367,2017-07-27
7.0,Tottenham,ENG,1,1887.18969727,2017-08-03
7.0,Tottenham,ENG,1,1887.51184082,2017-08-13
7.0,Tottenham,ENG,1,1892.57995605,2017-08-15
7.0,Tottenham,ENG,1,1895.19580078,2017-08-17
7.0,Tottenham,ENG,1,1896.36523438,2017-08-20
7.0,Tottenham,ENG,1,1886.75793457,2017-08-23
7.0,Tottenham,ENG,1,1888.31665039,2017-08-24
7.0,Tottenham,ENG,1,1888.61120605,2017-08-27
11.0,Tottenham,ENG,1,1881.32067871,2017-09-09
7.0,Tottenham,ENG,1,1893.43334961,2017-09-12
8.0,Tottenham,ENG,1,1894.80615234,2017-09-13
7.0,Tottenham,ENG,1,1905.04858398,2017-09-14
8.0,Tottenham,ENG,1,1902.21179199,2017-09-16
9.0,Tottenham,ENG,1,1894.90026855,2017-09-20
10.0,Tottenham,ENG,1,1894.90026855,2017-09-23
10.0,Tottenham,ENG,1,1899.0300293,2017-09-26
8.0,Tottenham,ENG,1,1908.18322754,2017-09-27
9.0,Tottenham,ENG,1,1915.9777832,2017-09-28
9.0,Tottenham,ENG,1,1914.37438965,2017-09-30
9.0,Tottenham,ENG,1,1918.12854004,2017-10-14
8.0,Tottenham,ENG,1,1919.72839355,2017-10-17
7.0,Tottenham,ENG,1,1931.20471191,2017-10-18
6.0,Tottenham,ENG,1,1931.62390137,2017-10-19
6.0,Tottenham,ENG,1,1929.18395996,2017-10-22
5.0,Tottenham,ENG,1,1937.29553223,2017-10-28
6.0,Tottenham,ENG,1,1930.39465332,2017-10-31
6.0,Tottenham,ENG,1,1927.62158203,2017-11-01
5.0,Tottenham,ENG,1,1947.23022461,2017-11-02
5.0,Tottenham,ENG,1,1941.8972168,2017-11-04
6.0,Tottenham,ENG,1,1941.8972168,2017-11-05
6.0,Tottenham,ENG,1,1943.14880371,2017-11-18
6.0,Tottenham,ENG,1,1931.00695801,2017-11-21
6.0,Tottenham,ENG,1,1939.65332031,2017-11-22
6.0,Tottenham,ENG,1,1936.8458252,2017-11-23
7.0,Tottenham,ENG,1,1926.29541016,2017-11-25
9.0,Tottenham,ENG,1,1918.50769043,2017-11-28
9.0,Tottenham,ENG,1,1906.75134277,2017-12-02
10.0,Tottenham,ENG,1,1901.87158203,2017-12-05
10.0,Tottenham,ENG,1,1901.90136719,2017-12-06
9.0,Tottenham,ENG,1,1903.49536133,2017-12-07
9.0,Tottenham,ENG,1,1907.37231445,2017-12-09
9.0,Tottenham,ENG,1,1911.36169434,2017-12-13
9.0,Tottenham,ENG,1,1913.42431641,2017-12-16
9.0,Tottenham,ENG,1,1904.73693848,2017-12-23
8.0,Tottenham,ENG,1,1912.75268555,2017-12-26
7.0,Tottenham,ENG,1,1916.21044922,2017-12-30
8.0,Tottenham,ENG,1,1916.21044922,2018-01-02
7.0,Tottenham,ENG,1,1920.13647461,2018-01-04
8.0,Tottenham,ENG,1,1912.85400391,2018-01-13
7.0,Tottenham,ENG,1,1917.61804199,2018-01-20
8.0,Tottenham,ENG,1,1917.61804199,2018-01-21
9.0,Tottenham,ENG,1,1912.26281738,2018-01-31
7.0,Tottenham,ENG,1,1921.82104492,2018-02-04
7.0,Tottenham,ENG,1,1922.38574219,2018-02-10
7.0,Tottenham,ENG,1,1926.84240723,2018-02-13
6.0,Tottenham,ENG,1,1935.04772949,2018-02-14
6.0,Tottenham,ENG,1,1939.08898926,2018-02-15
6.0,Tottenham,ENG,1,1939.65466309,2018-02-18
7.0,Tottenham,ENG,1,1939.65466309,2018-02-20
7.0,Tottenham,ENG,1,1939.44396973,2018-02-21
7.0,Tottenham,ENG,1,1939.35717773,2018-02-22
6.0,Tottenham,ENG,1,1939.20910645,2018-02-25
7.0,Tottenham,ENG,1,1942.26574707,2018-03-03
7.0,Tottenham,ENG,1,1943.68664551,2018-03-04
6.0,Tottenham,ENG,1,1943.68664551,2018-03-06
7.0,Tottenham,ENG,1,1943.27990723,2018-03-07
7.0,Tottenham,ENG,1,1923.05981445,2018-03-08
7.0,Tottenham,ENG,1,1926.31481934,2018-03-11
7.0,Tottenham,ENG,1,1932.5324707,2018-03-13
7.0,Tottenham,ENG,1,1926.80688477,2018-03-14
7.0,Tottenham,ENG,1,1924.80249023,2018-03-15
7.0,Tottenham,ENG,1,1925.90588379,2018-04-01
7.0,Tottenham,ENG,1,1936.53393555,2018-04-05
7.0,Tottenham,ENG,1,1940.12426758,2018-04-07
7.0,Tottenham,ENG,1,1942.55249023,2018-04-12
7.0,Tottenham,ENG,1,1942.84851074,2018-04-14
8.0,Tottenham,ENG,1,1930.30310059,2018-04-17
8.0,Tottenham,ENG,1,1923.98657227,2018-04-22
9.0,Tottenham,ENG,1,1923.98657227,2018-04-24
8.0,Tottenham,ENG,1,1927.02880859,2018-04-26
9.0,Tottenham,ENG,1,1926.34741211,2018-04-29
8.0,Tottenham,ENG,1,1926.34741211,2018-04-30
8.0,Tottenham,ENG,1,1928.4666748,2018-05-02
8.0,Tottenham,ENG,1,1927.55651855,2018-05-03
8.0,Tottenham,ENG,1,1926.00280762,2018-05-05
9.0,Tottenham,ENG,1,1911.85742188,2018-05-09
8.0,Tottenham,ENG,1,1913.70910645,2018-05-13
8.0,Tottenham,ENG,1,1916.0246582,2018-05-26
8.0,Tottenham,ENG,1,1913.50280762,2018-07-26
8.0,Tottenham,ENG,1,1913.52050781,2018-08-02
8.0,Tottenham,ENG,1,1914.44775391,2018-08-09
8.0,Tottenham,ENG,1,1914.84887695,2018-08-11
7.0,Tottenham,ENG,1,1918.74829102,2018-08-12
8.0,Tottenham,ENG,1,1918.74829102,2018-08-16
8.0,Tottenham,ENG,1,1921.48999023,2018-08-18
8.0,Tottenham,ENG,1,1923.53234863,2018-08-23
8.0,Tottenham,ENG,1,1919.77722168,2018-08-27
6.0,Tottenham,ENG,1,1934.61889648,2018-08-30
6.0,Tottenham,ENG,1,1932.13452148,2018-09-02
