temperature_0,temperature_0.66,temperature_1.23
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Somebody To Love"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Blank Space""","""Blank Space"""
"""Love Story""","""Love Story""",Love Story
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Shake It Off"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""",Love Story
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Shake It Off"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""",All Too Well.
"""Love Story""","""Love Story""",Love Story.
"""Love Story""","""Love Story""",Love Story
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Blank Space""","""Shake It Off"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Shake It Off"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""That's subjective, friend."""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Soon You'll Get Better"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""All Too Well""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""All Too Well"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""",Love Story
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""All Too Well""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""All Too Well"""
"""Love Story""","""Love Story""","In my opinion, ""All Too Well"" is the best Taylor Swift song."
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""",Love Story
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Blank Space""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""",Opinions vary widely.
"""Love Story""","""Love Story""","""All Too Well"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""All Too Well"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Love Story"""
"""Love Story""","""Love Story""","""Shake It Off"""
"""Love Story""","""Love Story""","""Blank Space"""
"""Love Story""","""Love Story""",All Too Well
